2019-12-18 17:40:49.794 default [main] INFO  c.x.SpringbootMybatisApplication - Starting SpringbootMybatisApplication on LAPTOP-JTN9SC6G with PID 56728 (F:\javaProject\back_end\task\target\classes started by ASUS in F:\javaProject\back_end\task)
2019-12-18 17:40:49.795 default [main] INFO  c.x.SpringbootMybatisApplication - No active profile set, falling back to default profiles: default
2019-12-18 17:40:51.544 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.xiyouedu.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$2309d0a3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:51.638 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:51.645 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$f750aa51] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:51.646 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Generic' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Generic] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:51.680 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:51.790 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.267 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.270 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.271 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.272 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userMapper' of type [com.sun.proxy.$Proxy51] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.274 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.275 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleMapper' of type [com.sun.proxy.$Proxy52] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.277 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRoleMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.278 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRoleMapper' of type [com.sun.proxy.$Proxy53] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.278 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userServiceImpl' of type [com.xiyouedu.service.impl.UserServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.278 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRealm' of type [com.xiyouedu.shiro.UserRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:52.978 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:53.021 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:53.034 default [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$c47c5921] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-18 17:40:53.446 default [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8222 (http)
2019-12-18 17:40:53.458 default [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8222"]
2019-12-18 17:40:53.464 default [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2019-12-18 17:40:53.465 default [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-12-18 17:40:53.469 default [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [F:\javaSoftwareInstall\JdkJre1.8\jdk\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;F:\javaSoftwareInstall\JdkJre1.8\jdk\bin;F:\javaSoftwareInstall\JdkJre1.8\jdk\jre\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;F:\ApplyInstall\MATLAB2014b\runtime\win64;F:\ApplyInstall\MATLAB2014b\bin;F:\ApplyInstall\MATLAB2014b\polyspace\bin;F:\java\apache-maven-3.5.0\bin;F:\javaSoftwareInstall\Node.js-12.6.0\;F:\ApplyInstall\SVN\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Users\ASUS\AppData\Local\Microsoft\WindowsApps;F:\ApplyInstall\BanDiZip\;C:\Users\ASUS\AppData\Roaming\npm;F:\ApplyInstall\MongoDB\bin;;.]
2019-12-18 17:40:53.613 default [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-12-18 17:40:53.613 default [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3786 ms
2019-12-18 17:40:53.988 default [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-18 17:40:54.408 default [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8222"]
2019-12-18 17:40:54.424 default [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8222 (http) with context path ''
2019-12-18 17:40:54.426 default [main] INFO  c.x.SpringbootMybatisApplication - Started SpringbootMybatisApplication in 5.155 seconds (JVM running for 8.766)
2019-12-18 17:41:44.053 default [http-nio-8222-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-18 17:41:44.053 default [http-nio-8222-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-12-18 17:41:44.060 default [http-nio-8222-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2019-12-18 17:41:49.000 default [http-nio-8222-exec-7] INFO  c.x.service.impl.UserServiceImpl - 执行认证逻辑
2019-12-18 17:41:49.000 default [http-nio-8222-exec-7] INFO  c.x.service.impl.UserServiceImpl - 用户登录认证：验证当前Subject时获取到token为：org.apache.shiro.authc.UsernamePasswordToken - admin, rememberMe=false
2019-12-18 17:41:49.204 default [http-nio-8222-exec-7] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-12-18 17:41:49.365 default [http-nio-8222-exec-7] INFO  c.xiyouedu.Controller.UserController - 用户为User{userId=null, username='admin', password='123456', role=null}登陆成功！
2019-12-18 17:41:54.403 default [http-nio-8222-exec-2] INFO  c.x.service.impl.UserServiceImpl - 执行授权逻辑
2019-12-18 17:41:54.408 default [http-nio-8222-exec-2] INFO  c.x.service.impl.UserServiceImpl - 执行授权逻辑
2019-12-18 17:41:54.543 default [http-nio-8222-exec-3] INFO  c.x.service.impl.UserServiceImpl - 执行授权逻辑
2019-12-18 17:41:54.546 default [http-nio-8222-exec-3] INFO  c.x.service.impl.UserServiceImpl - 执行授权逻辑
